Date,Ticker,Company Name,Region,Sector,Price,Shares,Market Value,Allocation (%)
2025-05-19,AAPL,Apple Inc.,Asia,Technology,191.21,960,183561.6,0.15
2025-05-19,MSFT,Microsoft Corporation,Emerging Markets,Consumer Discretionary,93.43,5291,494338.13,0.41
2025-05-19,AMZN,"Amazon.com, Inc.",North America,Financials,302.79,5834,1766476.86,1.45
2025-05-19,GOOGL,Alphabet Inc.,Asia,Consumer Staples,227.78,4526,1030932.28,0.85
2025-05-19,META,"Meta Platforms, Inc.",North America,Materials,230.38,8422,1940260.36,1.59
2025-05-19,TSLA,"Tesla, Inc.",North America,Financials,15.29,869,13287.01,0.01
2025-05-19,NVDA,NVIDIA Corporation,North America,Consumer Staples,369.18,7049,2602349.82,2.13
2025-05-19,JPM,JPMorgan Chase & Co.,Asia,Consumer Staples,5.41,5151,27866.91,0.02
2025-05-19,BAC,Bank of America Corporation,North America,Consumer Staples,95.19,4655,443109.45,0.36
2025-05-19,WMT,Walmart Inc.,Europe,Utilities,306.16,6496,1988815.36,1.63
2025-05-19,PG,The Procter & Gamble Company,Asia,Technology,218.84,8766,1918351.44,1.57
2025-05-19,XOM,Exxon Mobil Corporation,Emerging Markets,Health Care,309.03,7949,2456479.47,2.02
2025-05-19,CVX,Chevron Corporation,Asia,Energy,28.12,2847,80057.64,0.07
2025-05-19,T,AT&T Inc.,North America,Consumer Discretionary,187.28,289,54123.92,0.04
2025-05-19,VZ,Verizon Communications Inc.,Others,Energy,49.78,3105,154566.9,0.13
2025-05-19,KO,The Coca-Cola Company,North America,Materials,104.03,7834,814971.02,0.67
2025-05-19,PFE,Pfizer Inc.,North America,Energy,496.44,1628,808204.32,0.66
2025-05-19,MRK,"Merck & Co., Inc.",Asia,Technology,27.69,3990,110483.1,0.09
2025-05-19,JNJ,Johnson & Johnson,Emerging Markets,Consumer Staples,342.12,5493,1879265.16,1.54
2025-05-19,UNH,UnitedHealth Group Incorporated,North America,Materials,475.2,8533,4054881.6,3.33
2025-05-19,HD,"The Home Depot, Inc.",North America,Industrials,197.58,7613,1504176.54,1.23
2025-05-19,DIS,The Walt Disney Company,Emerging Markets,Real Estate,53.23,9655,513935.65,0.42
2025-05-19,NFLX,"Netflix, Inc.",Others,Energy,125.12,7199,900738.88,0.74
2025-05-19,ORCL,Oracle Corporation,Asia,Financials,66.13,875,57863.75,0.05
2025-05-19,INTC,Intel Corporation,North America,Consumer Discretionary,21.61,3252,70275.72,0.06
2025-05-19,CSCO,"Cisco Systems, Inc.",Emerging Markets,Financials,134.66,4043,544430.38,0.45
2025-05-19,ADBE,Adobe Inc.,Others,Financials,375.17,1121,420565.57,0.35
2025-05-19,CRM,"Salesforce, Inc.",Europe,Utilities,259.56,3943,1023445.08,0.84
2025-05-19,PYPL,"PayPal Holdings, Inc.",Asia,Energy,93.72,6973,653509.56,0.54
2025-05-19,NKE,"NIKE, Inc.",North America,Energy,225.8,4397,992842.6,0.81
2025-05-19,MCD,McDonald's Corporation,North America,Industrials,447.92,7729,3461973.68,2.84
2025-05-19,COST,Costco Wholesale Corporation,Emerging Markets,Financials,101.62,1116,113407.92,0.09
2025-05-19,SBUX,Starbucks Corporation,Asia,Health Care,478.56,7992,3824651.52,3.14
2025-05-19,BA,The Boeing Company,Asia,Consumer Discretionary,195.2,8629,1684380.8,1.38
2025-05-19,CAT,Caterpillar Inc.,North America,Materials,274.51,4987,1368981.37,1.12
2025-05-19,MMM,3M Company,North America,Consumer Staples,183.33,4959,909133.47,0.75
2025-05-19,GE,General Electric Company,North America,Energy,306.76,8784,2694579.84,2.21
2025-05-19,GM,General Motors Company,Emerging Markets,Technology,73.35,2162,158582.7,0.13
2025-05-19,F,Ford Motor Company,North America,Technology,88.78,8106,719650.68,0.59
2025-05-19,SAP,SAP SE,Emerging Markets,Materials,214.9,2127,457092.3,0.37
2025-05-19,ASML,ASML Holding N.V.,North America,Consumer Discretionary,151.09,5358,809540.22,0.66
2025-05-19,RY,Royal Bank of Canada,Others,Real Estate,101.88,491,50023.08,0.04
2025-05-19,HSBC,HSBC Holdings plc,Others,Energy,365.82,5992,2191993.44,1.8
2025-05-19,BP,BP p.l.c.,North America,Utilities,465.44,6284,2924824.96,2.4
2025-05-19,RDSA,Royal Dutch Shell plc,Europe,Utilities,457.26,8492,3883051.92,3.19
2025-05-19,GSK,GlaxoSmithKline plc,North America,Health Care,316.26,3204,1013297.04,0.83
2025-05-19,UL,Unilever PLC,North America,Consumer Staples,36.93,2554,94319.22,0.08
2025-05-19,NVS,Novartis AG,Asia,Real Estate,331.56,9096,3015869.76,2.47
2025-05-19,RHHBY,Roche Holding AG,Europe,Real Estate,369.27,8254,3047954.58,2.5
2025-05-19,NTT,Nippon Telegraph and Telephone Corporation,Europe,Consumer Discretionary,283.94,8210,2331147.4,1.91
2025-05-19,TCEHY,Tencent Holdings Limited,Others,Health Care,358.04,3940,1410677.6,1.16
